province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
香港,香港,2020-02-13,53,1,1,,NA,
香港,香港,2020-02-12,50,1,1,,NA,
香港,香港,2020-02-11,49,0,1,,NA,
香港,香港,2020-02-10,42,0,1,,NA,
香港,香港,2020-02-09,36,0,1,,NA,
香港,香港,2020-02-08,26,0,1,,NA,
香港,香港,2020-02-07,26,0,1,,NA,
香港,香港,2020-02-06,24,0,1,,NA,
香港,香港,2020-02-05,18,0,1,3,NA,
香港,香港,2020-02-04,15,0,1,0,NA,
香港,香港,2020-02-03,15,0,0,0,NA,
香港,香港,2020-02-02,15,0,0,1,NA,
香港,香港,2020-02-01,14,0,0,2,NA,
香港,香港,2020-01-31,12,0,0,2,NA,
香港,香港,2020-01-30,10,0,0,0,NA,
香港,香港,2020-01-29,10,0,0,2,NA,
香港,香港,2020-01-28,8,0,0,0,NA,
香港,香港,2020-01-27,8,0,0,0,NA,
香港,香港,2020-01-26,8,0,0,3,NA,
香港,香港,2020-01-25,5,0,0,3,NA,
香港,香港,2020-01-24,5,0,0,3,NA,
香港,香港,2020-01-23,2,0,0,2,NA,
