province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
内蒙古,内蒙古,2020-02-13,65,6,0,,NA,
内蒙古,包头,2020-02-13,11,0,0,,NA,
内蒙古,鄂尔多斯,2020-02-13,11,2,0,,NA,
内蒙古,呼和浩特,2020-02-13,7,0,0,,NA,
内蒙古,通辽,2020-02-13,6,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-13,6,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-13,6,1,0,,NA,
内蒙古,赤峰,2020-02-13,7,2,0,,NA,
内蒙古,锡林郭勒,2020-02-13,5,1,0,,NA,
内蒙古,乌兰察布,2020-02-13,3,0,0,,NA,
内蒙古,乌海,2020-02-13,2,0,0,,NA,
内蒙古,兴安,2020-02-13,1,0,0,,NA,
内蒙古,内蒙古,2020-02-12,61,6,0,,NA,
内蒙古,鄂尔多斯,2020-02-12,11,2,0,,NA,
内蒙古,包头,2020-02-12,11,0,0,,NA,
内蒙古,呼和浩特,2020-02-12,7,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-12,6,1,0,,NA,
内蒙古,通辽,2020-02-12,6,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-12,6,0,0,,NA,
内蒙古,赤峰,2020-02-12,5,2,0,,NA,
内蒙古,锡林郭勒,2020-02-12,3,1,0,,NA,
内蒙古,乌兰察布,2020-02-12,3,0,0,,NA,
内蒙古,乌海,2020-02-12,2,0,0,,NA,
内蒙古,兴安,2020-02-12,1,0,0,,NA,
内蒙古,内蒙古,2020-02-11,60,5,0,,NA,
内蒙古,鄂尔多斯,2020-02-11,11,2,0,,NA,
内蒙古,包头,2020-02-11,11,0,0,,NA,
内蒙古,呼和浩特,2020-02-11,7,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-11,6,1,0,,NA,
内蒙古,通辽,2020-02-11,6,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-11,6,0,0,,NA,
内蒙古,赤峰,2020-02-11,5,1,0,,NA,
内蒙古,乌兰察布,2020-02-11,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-11,2,1,0,,NA,
内蒙古,乌海,2020-02-11,2,0,0,,NA,
内蒙古,兴安,2020-02-11,1,0,0,,NA,
内蒙古,内蒙古,2020-02-10,58,5,0,,NA,
内蒙古,鄂尔多斯,2020-02-10,11,2,0,,NA,
内蒙古,包头,2020-02-10,11,0,0,,NA,
内蒙古,呼和浩特,2020-02-10,7,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-10,6,0,0,,NA,
内蒙古,通辽,2020-02-10,6,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-10,5,1,0,,NA,
内蒙古,赤峰,2020-02-10,4,1,0,,NA,
内蒙古,乌兰察布,2020-02-10,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-10,2,1,0,,NA,
内蒙古,乌海,2020-02-10,2,0,0,,NA,
内蒙古,兴安,2020-02-10,1,0,0,,NA,
内蒙古,内蒙古,2020-02-09,58,5,0,,NA,
内蒙古,鄂尔多斯,2020-02-09,11,2,0,,NA,
内蒙古,包头,2020-02-09,11,0,0,,NA,
内蒙古,呼和浩特,2020-02-09,7,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-09,6,0,0,,NA,
内蒙古,通辽,2020-02-09,6,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-09,5,1,0,,NA,
内蒙古,赤峰,2020-02-09,4,1,0,,NA,
内蒙古,乌兰察布,2020-02-09,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-09,2,1,0,,NA,
内蒙古,乌海,2020-02-09,2,0,0,,NA,
内蒙古,兴安,2020-02-09,1,0,0,,NA,
内蒙古,内蒙古,2020-02-08,54,5,0,,NA,
内蒙古,鄂尔多斯,2020-02-08,11,2,0,,NA,
内蒙古,包头,2020-02-08,10,0,0,,NA,
内蒙古,呼和浩特,2020-02-08,7,0,0,,NA,
内蒙古,巴彦淖尔,2020-02-08,6,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-08,5,1,0,,NA,
内蒙古,赤峰,2020-02-08,4,1,0,,NA,
内蒙古,通辽,2020-02-08,3,0,0,,NA,
内蒙古,乌兰察布,2020-02-08,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-08,2,1,0,,NA,
内蒙古,乌海,2020-02-08,2,0,0,,NA,
内蒙古,兴安,2020-02-08,1,0,0,,NA,
内蒙古,内蒙古,2020-02-07,52,5,0,,NA,
内蒙古,鄂尔多斯,2020-02-07,11,2,0,,NA,
内蒙古,包头,2020-02-07,10,0,0,,NA,
内蒙古,呼和浩特,2020-02-07,7,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-07,5,1,0,,NA,
内蒙古,赤峰,2020-02-07,4,1,0,,NA,
内蒙古,巴彦淖尔,2020-02-07,4,0,0,,NA,
内蒙古,通辽,2020-02-07,3,0,0,,NA,
内蒙古,乌兰察布,2020-02-07,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-07,2,1,0,,NA,
内蒙古,乌海,2020-02-07,2,0,0,,NA,
内蒙古,兴安,2020-02-07,1,0,0,,NA,
内蒙古,内蒙古,2020-02-06,50,4,0,,NA,
内蒙古,鄂尔多斯,2020-02-06,11,2,0,,NA,
内蒙古,包头,2020-02-06,9,0,0,,NA,
内蒙古,呼和浩特,2020-02-06,7,0,0,,NA,
内蒙古,呼伦贝尔,2020-02-06,5,1,0,,NA,
内蒙古,巴彦淖尔,2020-02-06,4,0,0,,NA,
内蒙古,赤峰,2020-02-06,4,0,0,,NA,
内蒙古,乌兰察布,2020-02-06,3,0,0,,NA,
内蒙古,锡林郭勒,2020-02-06,2,1,0,,NA,
内蒙古,通辽,2020-02-06,2,0,0,,NA,
内蒙古,乌海,2020-02-06,2,0,0,,NA,
内蒙古,兴安,2020-02-06,1,0,0,,NA,
